ANYOMES,TIPO_ORIGEN,PAIS_ORIGEN,CIUDAD_DESTINO,PASAJEROS,VARIACION_INTERANUAL,AÑO,MES,fecha
202510,Internacional,Bélgica,Jerez de la Frontera,665,64.19,2025,10,2025-10-01
202510,Internacional,Luxemburgo,Jerez de la Frontera,965,81.39,2025,10,2025-10-01
202510,Internacional,Reino Unido,Jerez de la Frontera,2841,29.37,2025,10,2025-10-01
202510,Internacional,Suiza,Jerez de la Frontera,1051,76.34,2025,10,2025-10-01
202510,Internacional,Total,Jerez de la Frontera,26976,16.59,2025,10,2025-10-01
202510,Internacional,Polonia,Jerez de la Frontera,343,,2025,10,2025-10-01
202510,Internacional,Portugal,Jerez de la Frontera,131,,2025,10,2025-10-01
202511,Internacional,Suiza,Jerez de la Frontera,137,,2025,11,2025-11-01
202511,Internacional,Total,Jerez de la Frontera,7178,33.29,2025,11,2025-11-01
202511,Internacional,Reino Unido,Jerez de la Frontera,139,,2025,11,2025-11-01
202511,Nacional,Total,Jerez de la Frontera,17869,-11.26,2025,11,2025-11-01
202511,Nacional,España,Jerez de la Frontera,17869,-11.26,2025,11,2025-11-01
202511,Internacional,Alemania,Jerez de la Frontera,6902,32.19,2025,11,2025-11-01
202512,Nacional,España,Jerez de la Frontera,16681,-14.18,2025,12,2025-12-01
202512,Nacional,Total,Jerez de la Frontera,16681,-14.18,2025,12,2025-12-01
202512,Internacional,Alemania,Jerez de la Frontera,2086,10.83,2025,12,2025-12-01
202512,Internacional,Total,Jerez de la Frontera,2086,10.83,2025,12,2025-12-01
202601,Nacional,España,Jerez de la Frontera,17249,10.55,2026,1,2026-01-01
202601,Nacional,Total,Jerez de la Frontera,17249,10.55,2026,1,2026-01-01
202601,Internacional,Alemania,Jerez de la Frontera,897,14.85,2026,1,2026-01-01
202601,Internacional,Total,Jerez de la Frontera,981,25.6,2026,1,2026-01-01
202601,Internacional,Marruecos,Jerez de la Frontera,84,,2026,1,2026-01-01
202602,Internacional,Total,Jerez de la Frontera,2120,1.92,2026,2,2026-02-01
202602,Internacional,Alemania,Jerez de la Frontera,2120,5.31,2026,2,2026-02-01
202602,Nacional,España,Jerez de la Frontera,16967,3.08,2026,2,2026-02-01
202602,Nacional,Total,Jerez de la Frontera,16967,3.08,2026,2,2026-02-01
202603,Nacional,España,Jerez de la Frontera,18984,-7.61,2026,3,2026-03-01
202603,Nacional,Total,Jerez de la Frontera,18984,-7.61,2026,3,2026-03-01
202603,Internacional,Alemania,Jerez de la Frontera,8098,35.64,2026,3,2026-03-01
202603,Internacional,Total,Jerez de la Frontera,8098,35.64,2026,3,2026-03-01
202604,Nacional,España,Jerez de la Frontera,24223,12.43,2026,4,2026-04-01
202604,Nacional,Total,Jerez de la Frontera,24223,12.43,2026,4,2026-04-01
202604,Internacional,Alemania,Jerez de la Frontera,13367,30.09,2026,4,2026-04-01
202604,Internacional,Bélgica,Jerez de la Frontera,688,29.56,2026,4,2026-04-01
202604,Internacional,Luxemburgo,Jerez de la Frontera,827,69.81,2026,4,2026-04-01
202604,Internacional,Total,Jerez de la Frontera,15570,37.87,2026,4,2026-04-01
202604,Internacional,Suiza,Jerez de la Frontera,688,,2026,4,2026-04-01
202605,Internacional,Reino Unido,Jerez de la Frontera,6029,95.74,2026,5,2026-05-01
202605,Internacional,Total,Jerez de la Frontera,28225,12.49,2026,5,2026-05-01
202605,Internacional,Luxemburgo,Jerez de la Frontera,1267,-8.32,2026,5,2026-05-01
202605,Internacional,Polonia,Jerez de la Frontera,512,,2026,5,2026-05-01
202605,Internacional,Alemania,Jerez de la Frontera,19120,-4.83,2026,5,2026-05-01
202605,Nacional,Total,Jerez de la Frontera,27568,14.34,2026,5,2026-05-01
202605,Nacional,España,Jerez de la Frontera,27568,14.34,2026,5,2026-05-01
202605,Internacional,Bélgica,Jerez de la Frontera,784,46.26,2026,5,2026-05-01
202605,Internacional,Suiza,Jerez de la Frontera,513,,2026,5,2026-05-01
