resena_id,atributo,n_frases,s0,s1,s2,s3,s4,sentimiento,bodega,puntuacion
ChZDSUhNMG9nS0VJQ0FnSUM0c2N5TmZ3EAE,Personal y trato,1,0.012286,0.06873,0.456556,0.387633,0.074796,3.444,Bodegas González Byass – Tío Pepe,4.0
ChZDSUhNMG9nS0VJQ0FnSUM0c2N5TmZ3EAE,Visita y experiencia,2,0.007196,0.038781,0.316934,0.498645,0.138444,3.722,Bodegas González Byass – Tío Pepe,4.0
ChZDSUhNMG9nS0VJQ0FnSUM0eEwzVmR3EAE,Instalaciones,1,0.008576,0.007072,0.05036,0.38158,0.552412,4.462,Bodegas Real Tesoro & Valdespino,4.0
ChZDSUhNMG9nS0VJQ0FnSUM0eEwzVmR3EAE,Personal y trato,1,0.008576,0.007072,0.05036,0.38158,0.552412,4.462,Bodegas Real Tesoro & Valdespino,4.0
ChZDSUhNMG9nS0VJQ0FnSUM0eEwzVmR3EAE,Visita y experiencia,1,0.008576,0.007072,0.05036,0.38158,0.552412,4.462,Bodegas Real Tesoro & Valdespino,4.0
ChZDSUhNMG9nS0VJQ0FnSUM1LV9ibk5nEAE,Personal y trato,1,0.002841,0.01522,0.293037,0.580907,0.107994,3.776,Bodegas Fundador,4.0
ChZDSUhNMG9nS0VJQ0FnSUM1LV9ibk5nEAE,Vino y cata,2,0.016935,0.039559,0.186344,0.473255,0.283906,3.968,Bodegas Fundador,4.0
ChZDSUhNMG9nS0VJQ0FnSUM1LV9ibk5nEAE,Visita y experiencia,1,0.026763,0.065932,0.228701,0.430267,0.248336,3.807,Bodegas Fundador,4.0
ChZDSUhNMG9nS0VJQ0FnSUM1M0lmLUxREAE,Instalaciones,1,0.001891,0.00165,0.010394,0.096448,0.889617,4.87,Bodegas Forlong,5.0
ChZDSUhNMG9nS0VJQ0FnSUM1M0lmLUxREAE,Vino y cata,1,0.001891,0.00165,0.010394,0.096448,0.889617,4.87,Bodegas Forlong,5.0
ChZDSUhNMG9nS0VJQ0FnSUM1NzV1YWN3EAE,Vino y cata,1,0.018455,0.01486,0.065075,0.280958,0.620653,4.47,Bodegas Manuel Aragón,5.0
ChZDSUhNMG9nS0VJQ0FnSUM1a0tpVU5nEAE,Personal y trato,1,0.015239,0.008774,0.021946,0.076983,0.877058,4.792,Bodegas Manuel Aragón,5.0
ChZDSUhNMG9nS0VJQ0FnSUM1a0tpVU5nEAE,Vino y cata,1,0.015183,0.013545,0.046226,0.153763,0.771283,4.652,Bodegas Manuel Aragón,5.0
